SampleID,NC_2516,Rv1733c,Rv1830,Rv2690c,Rv3220c,Rv3861,ceoB,devR,devS,katG,mtrA,phoR,subI,sugI,virS,whiB6
MFS-886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
