covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,Indel
Lineage_2,0.11855580265595907,1.1258696988685355,0.18123893934870808,0.2367977579138565,0.3619980930752218,1,0.5130210341099217,1.2671848137581638,0.6233136305866135,2.5761627428363796,Rv1215c
screen_sex,0.008572227269558325,1.008609074020726,0.19235799850577365,0.017552366916271014,0.3938694183999175,1,0.9644548983739741,1.0177073149491103,0.4702844720187922,2.2023439865127856,Rv1215c
peth_value_baseline,-0.21924494954879942,0.803124968959021,0.2832326001037139,-0.0006242746355534096,0.0008064720695754738,1,0.4388829442708868,0.9993759201833147,0.9977974982279184,1.0009568390540406,Rv1215c
HIV_High_CD4,-0.06202036486341087,0.9398637463993736,0.19300518319647358,-0.1649820739250486,0.5134183823678806,1,0.7479524354927991,0.8479089036302397,0.3099750054398511,2.3193789700406766,Rv1215c
high_lung_involvement,-0.043262889344718614,0.9576595984675119,0.1959078486697962,-0.08652089588258852,0.39179358646813445,1,0.8252225812345997,0.9171163846281871,0.42552898444505033,1.9766043999338676,Rv1215c
HIV_Low_CD4,0.2715452189329881,1.311990197311972,0.13845393173711373,0.911520494321739,0.4647608851067517,1,0.04984780757410266,2.4881028049025833,1.0006060816828726,6.1869057974865855,Rv1215c
fstrom1_baseline,-0.03923343024801948,0.9615262336405036,0.1768878417171451,-0.084113110564243,0.37923236621849093,1,0.8244708691735535,0.919327264588345,0.437186723554792,1.9331845499410867,Rv1215c
diabetes,0.2082005726839834,1.23146014204598,0.14850325615071658,0.9751311736713395,0.6955319699531445,1,0.16091724234622928,2.6515149971287,0.6783537055090706,10.364109052404078,Rv1215c
Indel_Sample1,0.3183829204894898,1.3749026388322068,0.08541172371531852,2.5446413032202133,0.6826440300600473,1,0.00019329230440595654,12.73865795088235,3.342381544057086,48.55023409224719,Rv1215c
underweight,0.3147079876989593,1.3698592367987121,0.1956265114506746,0.6313071356843615,0.3924285923304442,1,0.10767790909445871,1.8800664757991536,0.8712391487536743,4.057037563658886,Rv3705A
screen_years,0.018533175409651763,1.0187059805972045,0.18831863345607647,0.0014522306284976802,0.014756353478385435,1,0.9216036197424321,1.001453285626035,0.9729041701195364,1.030840152702766,Rv3705A
smoked_substance_use,0.12763121071199562,1.1361339314036683,0.20174218116499365,0.260711944527609,0.41209823248839006,1,0.5269654015326299,1.2978537577059215,0.578691505417692,2.9107466769804833,Rv3705A
F2,0.06950738241917917,1.0719799749810863,0.14052511825276662,0.12643204510732461,0.25561138214785517,1,0.6208641191730063,1.134772335223647,0.6875937755514975,1.8727747378982569,Rv3705A
TTP_baseline,-0.034449444405338966,0.9661371820916176,0.21885375513514177,-0.09640333149435047,0.6124403882057001,1,0.8749229038079073,0.9080976778023879,0.27341501544108304,3.0160793879580754,Rv3705A
smear_pos_no_contam_sputum_specimen_1,-0.14767328874757268,0.8627129269248066,0.2101403379768871,-0.336241570123198,0.478474596095358,1,0.4822199672779879,0.7144504950739837,0.27970087624183326,1.8249478398849468,Rv3705A
bl_prevtb,0.2076767813546539,1.2308152828017453,0.17199459113040674,0.42988932735407087,0.3560274702222126,1,0.22725461025427263,1.5370874006048278,0.7649753317236665,3.0885148567791534,Rv3705A
Lineage_2,0.05377011504070736,1.0552419900077898,0.172738695375695,0.10739788689516029,0.34502010743945,1,0.7555877088840709,1.1133771645425696,0.5661880015995031,2.189394171234483,Rv3705A
screen_sex,-0.017189873884086722,0.9829570290459644,0.18648655853158155,-0.035197733817603376,0.38184714396491054,1,0.926556975405376,0.9654145022880075,0.456756714336337,2.0405286490034946,Rv3705A
peth_value_baseline,-0.22193796092397397,0.8009650539251697,0.2824742351800415,-0.0006319426739654145,0.0008043127131692424,1,0.4320475069377845,0.9993682569597516,0.9977940700234881,1.0009449274390476,Rv3705A
HIV_High_CD4,-0.04264952548294141,0.9582471724369943,0.18969724893289827,-0.11345317270530983,0.5046188556895984,1,0.8221119656571245,0.8927460003124357,0.3320439445319779,2.4002709105182785,Rv3705A
high_lung_involvement,-0.04095293866851982,0.9598743018475643,0.1948633827390129,-0.0819012552396154,0.389704772488787,1,0.8335409948055159,0.9213629339667508,0.42925309287910135,1.9776436563193585,Rv3705A
HIV_Low_CD4,0.30929117746834056,1.3624590301225563,0.13510618087677254,1.0382257808960649,0.4535231857980509,1,0.022065109121173068,2.824201813823405,1.1610638194420806,6.869661901131435,Rv3705A
fstrom1_baseline,-0.025486969374560388,0.9748350815937931,0.17696902563144923,-0.05464187707772743,0.37940641757002286,1,0.8854851660404923,0.9468241666821221,0.45010932061648107,1.9916850452806862,Rv3705A
diabetes,0.21623706545419916,1.2413966363776083,0.14518227912686413,1.012771005907135,0.6799777945670846,1,0.13637739382810093,2.7532196424039594,0.7261773707046774,10.438521916433714,Rv3705A
Indel_Sample1,-1.949249645140904,0.14238086768992864,334.0651525373789,-15.693872623588096,2689.638017875422,1,0.995344419015413,1.5284024313494994e-07,0.0,inf,Rv3705A
underweight,0.3242092176210841,1.3829366115626118,0.1950674885290956,0.6503666908341116,0.3913071871764653,1,0.09650552642846948,1.916243369077891,0.8899577378693921,4.126025869864257,Rv3773c
screen_years,0.015163194336911988,1.0152787388373694,0.18643489013603165,0.0011881641842367867,0.014608746299090498,1,0.9351776194690323,1.0011888703309462,0.9729287248874305,1.0302698732535964,Rv3773c
smoked_substance_use,0.21015254285468796,1.2338662630839312,0.2034019316705973,0.42927805659308005,0.41548860056006065,1,0.3015156793536279,1.5361481111290942,0.6804066556841535,3.468148054714041,Rv3773c
F2,0.05333346999144121,1.0547813243980733,0.14101496317004947,0.09701213668244003,0.2565023967785602,1,0.7052735397514547,1.1018737466316104,0.6664945456606713,1.8216589489302784,Rv3773c
TTP_baseline,-0.04323391506256628,0.9576873463689096,0.2229773214167554,-0.12098579578047507,0.6239797768387346,1,0.8462590563720397,0.8860465451031276,0.2608098488973492,3.0101565696554036,Rv3773c
smear_pos_no_contam_sputum_specimen_1,-0.14712153905019434,0.8631890598621849,0.21364154721632003,-0.33498527532449124,0.48644660038930393,1,0.49105153974909244,0.7153486195513094,0.2757107162434852,1.856016532349984,Rv3773c
bl_prevtb,0.2423706067056887,1.274266356973917,0.17064213725654626,0.5017052768608486,0.35322790118845326,1,0.15550743647767137,1.651535195511576,0.8264559271682419,3.3003193665258905,Rv3773c
Lineage_2,0.09226294258316578,1.0966531409832243,0.17352518080646218,0.18428164166395938,0.34659099627378254,1,0.5949353729694387,1.2023544085104654,0.6095561385483591,2.371653785830688,Rv3773c
screen_sex,-0.05594170230742397,0.9455942602470547,0.18542415286564778,-0.11454540972188926,0.3796717776947445,1,0.7628839120442731,0.8917714424054874,0.42371745739270056,1.87685518171351,Rv3773c
peth_value_baseline,-0.21896807195773582,0.8033473670528528,0.27044118277027995,-0.0006234862586370434,0.0007700499881981161,1,0.4181299506468328,0.9993767080685315,0.9978695162073484,1.000886176407019,Rv3773c
HIV_High_CD4,-0.02432853738791412,0.9759650160837832,0.1897279811878703,-0.06471700968965267,0.5047006074041013,1,0.89796813418871,0.9373326819150491,0.3485714587483118,2.5205521982235832,Rv3773c
high_lung_involvement,-0.018572857383583753,0.9815985552840008,0.20239757745871517,-0.03714361856701522,0.40477231159160665,1,0.926885366264172,0.9635377435014852,0.43583882507956445,2.130156676570631,Rv3773c
HIV_Low_CD4,0.324835150140722,1.3838025075283376,0.13629033860948234,1.0904036454510997,0.4574981555880398,1,0.01715328533916859,2.9754748670941007,1.2137609200142156,7.294229480221658,Rv3773c
